record_id,zone_id,building_type,timestamp,hour_of_day,day_of_week,is_weekend,month,temperature,occupancy_rate,energy_consumption,solar_generation,net_consumption,is_anomaly,efficiency_score
1,Zone_D_Mixed,Office,2025-09-21 16:14:35.512667,16,6,1,9,18.101031604354734,0.16353200149142968,131.97797166241304,0.0,131.97797166241304,0,0.0
2,Zone_E_Tech_Park,Hotel,2025-09-21 17:14:35.512667,17,6,1,9,19.786083389583094,0.6499651670500755,181.13273497610422,0.0,181.13273497610422,0,0.0
3,Zone_C_Industrial,Residential_High_Rise,2025-09-21 18:14:35.512667,18,6,1,9,19.672931503419687,0.8209768295330746,94.52217193832291,0.0,94.52217193832291,0,0.0
4,Zone_E_Tech_Park,Hotel,2025-09-21 19:14:35.512667,19,6,1,9,16.489439739848798,0.5002071126073694,257.1303288328389,0.0,257.1303288328389,0,0.0
5,Zone_E_Tech_Park,Factory,2025-09-21 20:14:35.512667,20,6,1,9,19.003447592705417,0.35688938779838547,334.1293882344181,0.0,334.1293882344181,0,0.0
6,Zone_B_Commercial,Residential_High_Rise,2025-09-21 21:14:35.512667,21,6,1,9,23.975605565149515,0.8398599778757243,119.67292290460881,0.0,119.67292290460881,0,0.0
7,Zone_C_Industrial,Residential_Low_Rise,2025-09-21 22:14:35.512667,22,6,1,9,23.4428060534581,0.728198141606695,55.471457224753365,0.0,55.471457224753365,0,0.0
8,Zone_C_Industrial,Residential_High_Rise,2025-09-21 23:14:35.512667,23,6,1,9,20.89733457953564,0.7390300220441737,105.1209779095712,0.0,105.1209779095712,0,0.0
9,Zone_C_Industrial,School,2025-09-22 00:14:35.512667,0,0,0,9,20.490834808268282,0.3946525764792731,125.24596802763672,0.0,125.24596802763672,0,0.0
10,Zone_E_Tech_Park,Hospital,2025-09-22 01:14:35.512667,1,0,0,9,20.299710711892764,0.4900231142082473,301.5443330601132,0.0,301.5443330601132,0,0.0
11,Zone_D_Mixed,Hospital,2025-09-22 02:14:35.512667,2,0,0,9,21.58048761526135,0.6506617137728826,84.08925196761815,0.0,405.67627178230646,1,0.0
